benchmark,rob,iq,width,inst_count,cycles,ipc
val_trace_gcc1,512,32,4,10000,2584,3.87
val_trace_gcc1,512,32,8,10000,1621,6.17
val_trace_gcc1,512,64,1,10000,10032,1.0
val_trace_gcc1,512,64,2,10000,5033,1.99
val_trace_gcc1,512,64,4,10000,2541,3.94
val_trace_gcc1,512,64,8,10000,1363,7.34
val_trace_gcc1,512,128,1,10000,10032,1.0
val_trace_gcc1,512,128,2,10000,5033,1.99
val_trace_gcc1,512,128,4,10000,2541,3.94
val_trace_gcc1,512,128,8,10000,1293,7.73
val_trace_gcc1,512,256,1,10000,10032,1.0
val_trace_gcc1,512,256,2,10000,5033,1.99
val_trace_gcc1,512,256,4,10000,2541,3.94
val_trace_gcc1,512,256,8,10000,1293,7.73
val_trace_perl1,32,8,1,10000,10248,0.98
val_trace_perl1,32,8,2,10000,6095,1.64
val_trace_perl1,32,8,4,10000,5187,1.93
val_trace_perl1,32,8,8,10000,7768,1.29
val_trace_perl1,32,16,1,10000,10044,1.0
val_trace_perl1,32,16,2,10000,5589,1.79
val_trace_perl1,32,16,4,10000,4567,2.19
val_trace_perl1,32,16,8,10000,4607,2.17
val_trace_perl1,32,32,1,10000,10041,1.0
val_trace_perl1,32,32,2,10000,5584,1.79
val_trace_perl1,32,32,4,10000,4563,2.19
val_trace_perl1,32,32,8,10000,4581,2.18
val_trace_perl1,32,64,1,10000,10041,1.0
val_trace_perl1,32,64,2,10000,5584,1.79
val_trace_perl1,32,64,4,10000,4563,2.19
val_trace_perl1,32,64,8,10000,4581,2.18
val_trace_perl1,32,128,1,10000,10041,1.0
val_trace_perl1,32,128,2,10000,5584,1.79
val_trace_perl1,32,128,4,10000,4563,2.19
val_trace_perl1,32,128,8,10000,4581,2.18
val_trace_perl1,32,256,1,10000,10041,1.0
val_trace_perl1,32,256,2,10000,5584,1.79
val_trace_perl1,32,256,4,10000,4563,2.19
val_trace_perl1,32,256,8,10000,4581,2.18
val_trace_perl1,64,8,1,10000,10248,0.98
val_trace_perl1,64,8,2,10000,6081,1.64
val_trace_perl1,64,8,4,10000,5045,1.98
val_trace_perl1,64,8,8,10000,7768,1.29
val_trace_perl1,64,16,1,10000,10044,1.0
val_trace_perl1,64,16,2,10000,5335,1.87
val_trace_perl1,64,16,4,10000,3566,2.8
val_trace_perl1,64,16,8,10000,3481,2.87
val_trace_perl1,64,32,1,10000,10041,1.0
val_trace_perl1,64,32,2,10000,5069,1.97
val_trace_perl1,64,32,4,10000,3161,3.16
val_trace_perl1,64,32,8,10000,2849,3.51
val_trace_perl1,64,64,1,10000,10041,1.0
val_trace_perl1,64,64,2,10000,5065,1.97
val_trace_perl1,64,64,4,10000,3161,3.16
val_trace_perl1,64,64,8,10000,2845,3.51
val_trace_perl1,64,128,1,10000,10041,1.0
val_trace_perl1,64,128,2,10000,5065,1.97
val_trace_perl1,64,128,4,10000,3161,3.16
val_trace_perl1,64,128,8,10000,2845,3.51
val_trace_perl1,64,256,1,10000,10041,1.0
val_trace_perl1,64,256,2,10000,5065,1.97
val_trace_perl1,64,256,4,10000,3161,3.16
val_trace_perl1,64,256,8,10000,2845,3.51
val_trace_perl1,128,8,1,10000,10248,0.98
val_trace_perl1,128,8,2,10000,6081,1.64
val_trace_perl1,128,8,4,10000,5045,1.98
val_trace_perl1,128,8,8,10000,7768,1.29
val_trace_perl1,128,16,1,10000,10044,1.0
val_trace_perl1,128,16,2,10000,5335,1.87
val_trace_perl1,128,16,4,10000,3552,2.82
val_trace_perl1,128,16,8,10000,3474,2.88
val_trace_perl1,128,32,1,10000,10041,1.0
val_trace_perl1,128,32,2,10000,5067,1.97
val_trace_perl1,128,32,4,10000,2768,3.61
val_trace_perl1,128,32,8,10000,2129,4.7
val_trace_perl1,128,64,1,10000,10041,1.0
